frame;people_count;looking_face_count;IDs_people;IDs_looking;bb_people;bb_looking 
11;0;0;;;;
12;0;0;;;;
13;1;0;[1];;[1, 96, 48, 474];
14;1;0;[1];;[0, 72, 52, 477];
15;1;0;[1];;[0, 64, 57, 479];
16;1;0;[1];;[0, 60, 61, 479];
17;1;0;[1];;[0, 61, 59, 476];
18;1;1;[1];[1];[0, 61, 67, 475];[-12, 102, 48, 43]
19;1;1;[1];[1];[0, 61, 72, 476];[-8, 102, 48, 43]
20;1;1;[1];[1];[0, 61, 73, 479];[-9, 99, 58, 52]
21;1;1;[1];[1];[0, 61, 82, 479];[-9, 99, 58, 52]
22;1;1;[1];[1];[0, 63, 86, 479];[7, 104, 43, 43]
23;1;1;[1];[1];[0, 61, 89, 429];[3, 99, 52, 52]
24;1;1;[1];[1];[0, 61, 86, 374];[8, 99, 52, 52]
25;2;1;[1, 2];[1];[0, 56, 87, 362],[0, 202, 109, 471];[8, 100, 52, 51]
26;1;0;[2];;[0, 201, 115, 472];
27;2;1;[1, 2];[1];[0, 62, 86, 347],[0, 203, 123, 473];[14, 100, 52, 52]
28;2;1;[1, 2];[1];[1, 60, 87, 336],[0, 206, 127, 473];[12, 92, 62, 62]
29;2;1;[1, 2];[1];[0, 61, 92, 330],[0, 205, 130, 475];[20, 93, 52, 52]
30;2;1;[1, 2];[1];[0, 61, 93, 318],[0, 207, 135, 473];[20, 93, 52, 52]
31;2;1;[1, 2];[1];[1, 60, 94, 322],[0, 207, 136, 473];[18, 85, 63, 62]
32;2;1;[1, 2];[1];[2, 58, 95, 314],[0, 209, 136, 472];[19, 83, 63, 62]
33;1;0;[2];;[0, 211, 136, 472];
34;1;0;[2];;[7, 216, 135, 473];
35;1;0;[2];;[5, 218, 137, 474];
36;2;1;[2, 3];[3];[7, 218, 141, 475],[1, 48, 108, 479];[25, 87, 63, 62]
37;2;1;[2, 3];[3];[13, 218, 145, 474],[0, 48, 109, 479];[21, 78, 75, 75]
38;2;1;[2, 3];[3];[11, 217, 149, 474],[0, 47, 111, 477];[31, 86, 62, 62]
39;2;1;[2, 3];[3];[20, 219, 151, 474],[0, 46, 114, 474];[31, 85, 62, 62]
40;2;0;[2, 3];;[23, 220, 155, 473],[1, 46, 115, 474];
41;2;1;[2, 3];[3];[37, 213, 153, 472],[0, 47, 119, 475];[38, 86, 62, 62]
42;2;1;[2, 3];[3];[39, 209, 158, 472],[0, 48, 123, 473];[49, 92, 52, 51]
43;2;2;[2, 3];[2, 3];[46, 209, 161, 472],[0, 52, 126, 472];[106, 247, 52, 52],[45, 84, 62, 62]
44;2;0;[2, 3];;[49, 208, 165, 473],[0, 55, 129, 471];
45;2;0;[2, 3];;[51, 207, 169, 475],[0, 56, 132, 473];
46;2;0;[2, 3];;[50, 206, 172, 475],[0, 57, 142, 475];
47;2;0;[2, 3];;[42, 207, 181, 474],[0, 57, 148, 475];
48;2;0;[2, 3];;[47, 208, 183, 473],[3, 59, 152, 475];
49;2;1;[2, 3];[2];[52, 209, 189, 472],[6, 60, 162, 474];[118, 248, 62, 62]
50;2;0;[2, 3];;[58, 208, 192, 472],[14, 59, 167, 471];
51;2;0;[2, 3];;[60, 207, 195, 472],[19, 57, 174, 471];
52;2;0;[2, 3];;[63, 208, 201, 473],[24, 54, 179, 473];
53;2;2;[2, 3];[2, 3];[64, 209, 209, 474],[27, 51, 182, 475];[130, 247, 52, 52],[93, 89, 52, 52]
54;2;2;[2, 3];[2, 3];[67, 209, 211, 476],[29, 50, 186, 475];[133, 253, 52, 51],[101, 88, 52, 52]
55;2;2;[2, 3];[2, 3];[62, 208, 231, 477],[31, 51, 195, 469];[134, 252, 52, 51],[103, 89, 52, 52]
56;2;2;[2, 3];[2, 3];[64, 209, 239, 477],[35, 51, 199, 465];[136, 253, 52, 51],[107, 89, 52, 52]
57;2;2;[2, 3];[2, 3];[68, 209, 248, 478],[37, 51, 204, 458];[140, 253, 52, 51],[109, 89, 52, 52]
58;2;2;[2, 3];[2, 3];[81, 213, 251, 477],[43, 50, 209, 461];[141, 251, 52, 52],[109, 88, 52, 52]
59;2;2;[2, 3];[2, 3];[86, 215, 258, 477],[49, 50, 210, 463];[141, 253, 51, 52],[115, 88, 52, 52]
60;2;2;[2, 3];[2, 3];[91, 214, 259, 476],[52, 55, 211, 466];[140, 258, 52, 51],[112, 87, 52, 52]
61;2;2;[2, 3];[2, 3];[97, 213, 262, 476],[52, 58, 214, 469];[140, 257, 52, 51],[112, 90, 52, 52]
62;2;2;[2, 3];[2, 3];[99, 212, 264, 476],[56, 59, 213, 470];[142, 256, 52, 51],[116, 91, 52, 52]
63;2;2;[2, 3];[2, 3];[102, 211, 266, 476],[55, 62, 214, 471];[145, 255, 52, 51],[115, 88, 52, 52]
64;2;2;[2, 3];[2, 3];[104, 211, 266, 477],[54, 64, 213, 471];[141, 255, 52, 51],[114, 84, 52, 52]
65;2;2;[2, 3];[2, 3];[104, 211, 266, 477],[51, 63, 211, 472];[141, 255, 52, 51],[117, 89, 52, 52]
66;2;2;[2, 3];[2, 3];[106, 209, 264, 477],[51, 65, 211, 472];[137, 248, 62, 62],[117, 85, 52, 52]
67;2;2;[2, 3];[2, 3];[106, 209, 263, 476],[50, 67, 212, 471];[137, 248, 62, 62],[116, 87, 52, 52]
68;2;2;[2, 3];[2, 3];[106, 209, 259, 476],[49, 66, 212, 470];[137, 248, 62, 62],[115, 86, 52, 52]
69;2;2;[2, 3];[2, 3];[108, 209, 252, 475],[50, 63, 212, 471];[139, 253, 52, 51],[116, 89, 52, 52]
70;2;2;[2, 3];[2, 3];[105, 211, 247, 475],[51, 60, 212, 472];[142, 255, 52, 51],[117, 86, 52, 52]
71;2;2;[2, 3];[2, 3];[103, 211, 239, 476],[51, 56, 212, 473];[134, 250, 62, 62],[117, 88, 52, 52]
72;2;2;[2, 3];[2, 3];[99, 211, 236, 476],[51, 53, 209, 471];[136, 255, 52, 51],[117, 85, 52, 52]
73;2;2;[2, 3];[2, 3];[95, 213, 237, 477],[50, 51, 208, 470];[126, 245, 62, 62],[122, 89, 52, 52]
74;2;2;[2, 3];[2, 3];[99, 216, 234, 477],[49, 51, 206, 463];[130, 254, 52, 52],[121, 89, 52, 52]
75;2;2;[2, 3];[2, 3];[93, 217, 234, 477],[47, 53, 207, 451];[124, 249, 62, 62],[119, 85, 52, 52]
76;2;2;[2, 3];[2, 3];[90, 216, 230, 477],[50, 55, 206, 443];[121, 248, 62, 62],[122, 87, 52, 52]
77;2;2;[2, 3];[2, 3];[90, 215, 229, 477],[50, 56, 205, 443];[121, 247, 62, 62],[122, 88, 52, 52]
78;2;2;[2, 3];[2, 3];[91, 213, 227, 476],[48, 56, 205, 442];[122, 245, 62, 62],[120, 88, 52, 52]
79;2;2;[2, 3];[2, 3];[82, 211, 230, 476],[46, 55, 205, 452];[125, 249, 52, 52],[124, 87, 51, 52]
80;2;2;[2, 3];[2, 3];[89, 211, 226, 476],[40, 56, 206, 457];[120, 243, 62, 62],[123, 88, 52, 52]
81;2;2;[2, 3];[2, 3];[80, 211, 230, 476],[35, 55, 207, 455];[118, 243, 62, 62],[124, 87, 52, 52]
82;2;2;[2, 3];[2, 3];[78, 210, 230, 476],[32, 54, 206, 460];[116, 242, 62, 62],[119, 86, 62, 62]
83;2;2;[2, 3];[2, 3];[83, 211, 230, 474],[26, 54, 206, 466];[120, 249, 52, 52],[119, 86, 63, 62]
84;2;2;[2, 3];[2, 3];[79, 209, 232, 474],[19, 55, 207, 467];[117, 241, 62, 62],[125, 87, 52, 52]
85;2;2;[2, 3];[2, 3];[75, 209, 232, 474],[16, 55, 206, 467];[113, 241, 62, 62],[122, 87, 52, 52]
86;2;2;[2, 3];[2, 3];[77, 208, 229, 475],[9, 58, 210, 471];[120, 246, 52, 52],[116, 83, 63, 62]
87;2;2;[2, 3];[2, 3];[73, 209, 228, 475],[11, 60, 210, 472];[111, 241, 62, 62],[123, 86, 52, 52]
88;2;2;[2, 3];[2, 3];[73, 210, 227, 475],[18, 60, 209, 473];[111, 242, 62, 62],[124, 86, 52, 52]
89;2;2;[2, 3];[2, 3];[73, 210, 226, 475],[25, 59, 209, 472];[111, 242, 62, 62],[118, 84, 63, 62]
90;2;2;[2, 3];[2, 3];[81, 210, 225, 475],[26, 58, 211, 472];[112, 248, 52, 52],[121, 84, 52, 52]
91;2;2;[2, 3];[2, 3];[87, 210, 224, 475],[28, 58, 211, 472];[113, 248, 52, 52],[115, 83, 62, 62]
92;2;2;[2, 3];[2, 3];[87, 211, 225, 475],[28, 58, 212, 473];[113, 243, 52, 52],[115, 83, 62, 62]
93;2;2;[2, 3];[2, 3];[83, 212, 226, 475],[24, 58, 214, 473];[107, 244, 63, 62],[119, 84, 52, 52]
94;2;2;[2, 3];[2, 3];[86, 211, 223, 475],[27, 57, 211, 474];[110, 243, 63, 62],[114, 82, 62, 62]
95;2;2;[2, 3];[2, 3];[80, 209, 223, 475],[25, 59, 210, 470];[111, 241, 62, 62],[120, 85, 52, 52]
96;2;2;[2, 3];[2, 3];[79, 208, 222, 476],[25, 59, 209, 468];[110, 240, 62, 62],[112, 84, 62, 62]
97;2;2;[2, 3];[2, 3];[77, 208, 222, 476],[25, 58, 209, 467];[114, 246, 52, 52],[112, 83, 62, 62]
98;2;2;[2, 3];[2, 3];[75, 207, 224, 476],[25, 59, 208, 467];[112, 245, 52, 52],[120, 85, 52, 52]
99;2;2;[2, 3];[2, 3];[74, 207, 224, 476],[25, 59, 209, 466];[117, 245, 52, 52],[112, 84, 62, 62]
100;2;2;[2, 3];[2, 3];[73, 207, 224, 475],[26, 59, 210, 466];[116, 245, 52, 52],[113, 84, 62, 62]
101;2;2;[2, 3];[2, 3];[74, 208, 224, 475],[27, 59, 209, 467];[117, 246, 52, 52],[116, 85, 52, 52]
102;2;2;[2, 3];[2, 3];[76, 208, 224, 475],[28, 58, 207, 467];[113, 246, 52, 52],[115, 83, 62, 62]
103;2;2;[2, 3];[2, 3];[77, 208, 225, 475],[27, 58, 205, 467];[114, 246, 52, 52],[114, 83, 62, 62]
104;2;2;[2, 3];[2, 3];[80, 208, 224, 475],[27, 58, 203, 467];[111, 240, 62, 62],[122, 84, 52, 52]
105;2;2;[2, 3];[2, 3];[81, 208, 224, 475],[27, 58, 202, 467];[112, 240, 62, 62],[122, 84, 52, 52]
106;2;2;[2, 3];[2, 3];[82, 208, 225, 476],[27, 59, 201, 467];[113, 240, 62, 62],[122, 85, 52, 52]
107;2;2;[2, 3];[2, 3];[82, 208, 225, 476],[27, 59, 200, 467];[113, 240, 62, 62],[122, 85, 52, 52]
108;2;2;[2, 3];[2, 3];[82, 208, 226, 476],[27, 59, 199, 466];[113, 240, 62, 62],[122, 85, 52, 52]
109;2;2;[2, 3];[2, 3];[82, 208, 225, 476],[27, 59, 199, 466];[113, 240, 62, 62],[122, 85, 52, 52]
110;2;2;[2, 3];[2, 3];[83, 208, 225, 476],[28, 59, 199, 466];[114, 240, 62, 62],[123, 85, 52, 52]
111;2;2;[2, 3];[2, 3];[84, 208, 226, 476],[28, 59, 199, 466];[115, 240, 62, 62],[123, 85, 52, 52]
112;2;2;[2, 3];[2, 3];[83, 207, 226, 476],[29, 59, 199, 465];[114, 239, 62, 62],[124, 85, 52, 52]
113;2;2;[2, 3];[2, 3];[82, 207, 227, 476],[29, 59, 200, 465];[119, 245, 52, 52],[124, 85, 52, 52]
114;2;2;[2, 3];[2, 3];[81, 208, 226, 476],[30, 55, 203, 460];[118, 246, 52, 52],[117, 80, 62, 62]
115;2;2;[2, 3];[2, 3];[80, 208, 227, 476],[30, 57, 203, 462];[111, 240, 62, 62],[117, 82, 62, 62]
116;2;2;[2, 3];[2, 3];[80, 208, 226, 476],[30, 57, 203, 464];[117, 246, 52, 52],[117, 82, 62, 62]
117;2;2;[2, 3];[2, 3];[80, 208, 226, 476],[28, 58, 206, 465];[117, 246, 52, 52],[123, 84, 52, 52]
118;2;2;[2, 3];[2, 3];[77, 209, 227, 477],[29, 58, 206, 465];[115, 241, 62, 62],[116, 83, 62, 62]
119;2;2;[2, 3];[2, 3];[77, 209, 227, 476],[29, 58, 208, 466];[120, 247, 52, 52],[116, 83, 62, 62]
120;2;2;[2, 3];[2, 3];[77, 209, 226, 476],[30, 58, 208, 466];[115, 241, 62, 62],[119, 84, 52, 52]
121;2;2;[2, 3];[2, 3];[77, 209, 226, 476],[31, 54, 208, 457];[120, 247, 52, 52],[120, 86, 52, 52]
122;2;2;[2, 3];[2, 3];[78, 209, 227, 476],[31, 54, 208, 454];[116, 241, 62, 62],[120, 86, 52, 52]
123;2;2;[2, 3];[2, 3];[79, 210, 226, 476],[32, 53, 208, 453];[117, 242, 62, 62],[121, 85, 52, 52]
124;2;2;[2, 3];[2, 3];[80, 209, 227, 476],[32, 55, 207, 461];[123, 247, 52, 52],[112, 80, 62, 62]
125;2;2;[2, 3];[2, 3];[80, 209, 228, 477],[33, 54, 209, 455];[123, 247, 52, 52],[113, 79, 62, 62]
126;2;2;[2, 3];[2, 3];[78, 210, 230, 477],[33, 54, 209, 450];[127, 248, 52, 52],[113, 79, 62, 62]
127;2;2;[2, 3];[2, 3];[80, 211, 232, 477],[35, 53, 208, 451];[129, 249, 52, 52],[118, 85, 52, 52]
128;2;2;[2, 3];[2, 3];[87, 213, 232, 476],[38, 52, 206, 456];[125, 245, 62, 62],[121, 84, 52, 52]
129;2;2;[2, 3];[2, 3];[90, 213, 233, 476],[39, 52, 206, 457];[139, 251, 52, 52],[117, 84, 51, 52]
130;2;2;[2, 3];[2, 3];[90, 214, 234, 476],[41, 50, 205, 457];[145, 252, 51, 52],[114, 82, 62, 62]
131;2;2;[2, 3];[2, 3];[95, 215, 231, 475],[44, 50, 203, 467];[150, 253, 51, 52],[117, 82, 62, 62]
132;2;2;[2, 3];[2, 3];[100, 215, 233, 475],[45, 51, 202, 470];[160, 247, 52, 52],[117, 83, 52, 52]
133;2;2;[2, 3];[2, 3];[110, 215, 241, 475],[47, 54, 201, 473];[165, 253, 51, 52],[119, 86, 52, 52]
134;2;2;[2, 3];[2, 3];[117, 214, 246, 476],[51, 54, 196, 474];[172, 258, 51, 51],[123, 86, 52, 52]
